Date as of,First week,Last week,State,County name,FIPS County Code,Urban Rural Code,Deaths involving COVID-19,Deaths from All Causes
10/28/2020,02/01/2020,10/24/2020,FL,Polk County,12105,Medium metro,543,5880
10/28/2020,02/01/2020,10/24/2020,FL,Putnam County,12107,Micropolitan,28,640
10/28/2020,02/01/2020,10/24/2020,FL,St. Johns County,12109,Large fringe metro,38,1335
10/28/2020,02/01/2020,10/24/2020,FL,St. Lucie County,12111,Medium metro,204,2765
10/28/2020,02/01/2020,10/24/2020,FL,Santa Rosa County,12113,Medium metro,43,933
10/28/2020,02/01/2020,10/24/2020,FL,Sarasota County,12115,Medium metro,326,4885
10/28/2020,02/01/2020,10/24/2020,FL,Seminole County,12117,Large fringe metro,173,2756
10/28/2020,02/01/2020,10/24/2020,FL,Sumter County,12119,Small metro,78,1854
10/28/2020,02/01/2020,10/24/2020,FL,Suwannee County,12121,Noncore,20,277
10/28/2020,02/01/2020,10/24/2020,FL,Union County,12125,Noncore,16,111
10/28/2020,02/01/2020,10/24/2020,FL,Volusia County,12127,Medium metro,326,6013
10/28/2020,02/01/2020,10/24/2020,FL,Walton County,12131,Small metro,33,499
10/28/2020,02/01/2020,10/24/2020,FL,Washington County,12133,Noncore,20,211
10/28/2020,02/01/2020,10/24/2020,GA,Appling County,13001,Noncore,16,117
10/28/2020,02/01/2020,10/24/2020,GA,Bacon County,13005,Noncore,20,120
10/28/2020,02/01/2020,10/24/2020,GA,Baldwin County,13009,Micropolitan,60,374
10/28/2020,02/01/2020,10/24/2020,GA,Barrow County,13013,Large fringe metro,19,321
10/28/2020,02/01/2020,10/24/2020,GA,Bartow County,13015,Large fringe metro,61,756
10/28/2020,02/01/2020,10/24/2020,GA,Ben Hill County,13017,Micropolitan,26,159
10/28/2020,02/01/2020,10/24/2020,GA,Berrien County,13019,Noncore,10,118
10/28/2020,02/01/2020,10/24/2020,GA,Bibb County,13021,Small metro,278,2266
10/28/2020,02/01/2020,10/24/2020,GA,Bleckley County,13023,Noncore,13,76
10/28/2020,02/01/2020,10/24/2020,GA,Bulloch County,13031,Micropolitan,53,535
10/28/2020,02/01/2020,10/24/2020,GA,Butts County,13035,Large fringe metro,20,188
10/28/2020,02/01/2020,10/24/2020,GA,Candler County,13043,Noncore,17,106
10/28/2020,02/01/2020,10/24/2020,GA,Carroll County,13045,Large fringe metro,79,943
10/28/2020,02/01/2020,10/24/2020,GA,Chatham County,13051,Medium metro,256,2835
10/28/2020,02/01/2020,10/24/2020,GA,Cherokee County,13057,Large fringe metro,56,1049
10/28/2020,02/01/2020,10/24/2020,GA,Clarke County,13059,Small metro,129,1250
10/28/2020,02/01/2020,10/24/2020,GA,Clayton County,13063,Large fringe metro,64,1051
10/28/2020,02/01/2020,10/24/2020,GA,Cobb County,13067,Large fringe metro,434,4281
10/28/2020,02/01/2020,10/24/2020,GA,Coffee County,13069,Micropolitan,52,322
10/28/2020,02/01/2020,10/24/2020,GA,Colquitt County,13071,Micropolitan,45,445
10/28/2020,02/01/2020,10/24/2020,GA,Columbia County,13073,Medium metro,14,479
10/28/2020,02/01/2020,10/24/2020,GA,Coweta County,13077,Large fringe metro,52,782
10/28/2020,02/01/2020,10/24/2020,GA,Crisp County,13081,Micropolitan,34,258
10/28/2020,02/01/2020,10/24/2020,GA,Decatur County,13087,Micropolitan,17,237
10/28/2020,02/01/2020,10/24/2020,GA,DeKalb County,13089,Large fringe metro,295,3872
10/28/2020,02/01/2020,10/24/2020,GA,Dodge County,13091,Noncore,20,151
10/28/2020,02/01/2020,10/24/2020,GA,Dougherty County,13095,Small metro,214,1134
10/28/2020,02/01/2020,10/24/2020,GA,Douglas County,13097,Large fringe metro,38,597
10/28/2020,02/01/2020,10/24/2020,GA,Early County,13099,Noncore,14,102
10/28/2020,02/01/2020,10/24/2020,GA,Effingham County,13103,Medium metro,10,220
10/28/2020,02/01/2020,10/24/2020,GA,Emanuel County,13107,Noncore,36,198
10/28/2020,02/01/2020,10/24/2020,GA,Fayette County,13113,Large fringe metro,101,861
10/28/2020,02/01/2020,10/24/2020,GA,Floyd County,13115,Small metro,120,1301
10/28/2020,02/01/2020,10/24/2020,GA,Forsyth County,13117,Large fringe metro,74,1229
10/28/2020,02/01/2020,10/24/2020,GA,Franklin County,13119,Noncore,13,194
10/28/2020,02/01/2020,10/24/2020,GA,Fulton County,13121,Large central metro,689,7067
10/28/2020,02/01/2020,10/24/2020,GA,Glynn County,13127,Small metro,114,920
10/28/2020,02/01/2020,10/24/2020,GA,Gordon County,13129,Micropolitan,34,410
10/28/2020,02/01/2020,10/24/2020,GA,Grady County,13131,Noncore,17,152
10/28/2020,02/01/2020,10/24/2020,GA,Gwinnett County,13135,Large fringe metro,349,3322
10/28/2020,02/01/2020,10/24/2020,GA,Habersham County,13137,Micropolitan,32,299
10/28/2020,02/01/2020,10/24/2020,GA,Hall County,13139,Small metro,240,2127
10/28/2020,02/01/2020,10/24/2020,GA,Henry County,13151,Large fringe metro,106,1460
10/28/2020,02/01/2020,10/24/2020,GA,Houston County,13153,Small metro,78,1003
10/28/2020,02/01/2020,10/24/2020,GA,Jeff Davis County,13161,Noncore,15,131
10/28/2020,02/01/2020,10/24/2020,GA,Jefferson County,13163,Noncore,15,134
10/28/2020,02/01/2020,10/24/2020,GA,Jenkins County,13165,Noncore,14,67
10/28/2020,02/01/2020,10/24/2020,GA,Lamar County,13171,Large fringe metro,14,116
10/28/2020,02/01/2020,10/24/2020,GA,Laurens County,13175,Micropolitan,89,646
10/28/2020,02/01/2020,10/24/2020,GA,Lowndes County,13185,Small metro,151,956
10/28/2020,02/01/2020,10/24/2020,GA,Mitchell County,13205,Noncore,15,153
10/28/2020,02/01/2020,10/24/2020,GA,Monroe County,13207,Small metro,23,213
10/28/2020,02/01/2020,10/24/2020,GA,Muscogee County,13215,Medium metro,266,2246
10/28/2020,02/01/2020,10/24/2020,GA,Newton County,13217,Large fringe metro,53,605
10/28/2020,02/01/2020,10/24/2020,GA,Oconee County,13219,Small metro,17,265
10/28/2020,02/01/2020,10/24/2020,GA,Paulding County,13223,Large fringe metro,37,606
10/28/2020,02/01/2020,10/24/2020,GA,Pickens County,13227,Large fringe metro,14,288
10/28/2020,02/01/2020,10/24/2020,GA,Pulaski County,13235,Small metro,24,90
10/28/2020,02/01/2020,10/24/2020,GA,Putnam County,13237,Noncore,12,139
10/28/2020,02/01/2020,10/24/2020,GA,Richmond County,13245,Medium metro,354,2980
10/28/2020,02/01/2020,10/24/2020,GA,Rockdale County,13247,Large fringe metro,46,598
10/28/2020,02/01/2020,10/24/2020,GA,Spalding County,13255,Large fringe metro,97,900
10/28/2020,02/01/2020,10/24/2020,GA,Stephens County,13257,Micropolitan,24,253
10/28/2020,02/01/2020,10/24/2020,GA,Sumter County,13261,Micropolitan,48,270
10/28/2020,02/01/2020,10/24/2020,GA,Tattnall County,13267,Noncore,11,128
10/28/2020,02/01/2020,10/24/2020,GA,Thomas County,13275,Micropolitan,106,593
10/28/2020,02/01/2020,10/24/2020,GA,Tift County,13277,Micropolitan,118,512
10/28/2020,02/01/2020,10/24/2020,GA,Toombs County,13279,Micropolitan,61,405
10/28/2020,02/01/2020,10/24/2020,GA,Troup County,13285,Micropolitan,98,652
10/28/2020,02/01/2020,10/24/2020,GA,Union County,13291,Noncore,21,249
10/28/2020,02/01/2020,10/24/2020,GA,Upson County,13293,Micropolitan,86,430
10/28/2020,02/01/2020,10/24/2020,GA,Walker County,13295,Medium metro,16,427
10/28/2020,02/01/2020,10/24/2020,GA,Walton County,13297,Large fringe metro,50,646
10/28/2020,02/01/2020,10/24/2020,GA,Ware County,13299,Micropolitan,82,510
10/28/2020,02/01/2020,10/24/2020,GA,Washington County,13303,Noncore,14,138
10/28/2020,02/01/2020,10/24/2020,GA,Wayne County,13305,Micropolitan,28,256
10/28/2020,02/01/2020,10/24/2020,GA,Whitfield County,13313,Small metro,58,689
10/28/2020,02/01/2020,10/24/2020,HI,Hawaii County,15001,Micropolitan,38,1316
10/28/2020,02/01/2020,10/24/2020,HI,Honolulu County,15003,Medium metro,186,6109
10/28/2020,02/01/2020,10/24/2020,HI,Maui County,15009,Small metro,17,884
10/28/2020,02/01/2020,10/24/2020,IA,Black Hawk County,19013,Small metro,106,1078
10/28/2020,02/01/2020,10/24/2020,IA,Cerro Gordo County,19033,Micropolitan,32,545
10/28/2020,02/01/2020,10/24/2020,IA,Clinton County,19045,Micropolitan,29,351
10/28/2020,02/01/2020,10/24/2020,IA,Dallas County,19049,Medium metro,40,333
10/28/2020,02/01/2020,10/24/2020,IA,Delaware County,19055,Noncore,10,117
10/28/2020,02/01/2020,10/24/2020,IA,Des Moines County,19057,Micropolitan,16,366
10/28/2020,02/01/2020,10/24/2020,IA,Dubuque County,19061,Small metro,56,737
10/28/2020,02/01/2020,10/24/2020,IA,Emmet County,19063,Noncore,16,102
10/28/2020,02/01/2020,10/24/2020,IA,Franklin County,19069,Noncore,10,82
10/28/2020,02/01/2020,10/24/2020,IA,Guthrie County,19077,Medium metro,11,71
10/28/2020,02/01/2020,10/24/2020,IA,Harrison County,19085,Medium metro,13,131
10/28/2020,02/01/2020,10/24/2020,IA,Jasper County,19099,Micropolitan,23,226
10/28/2020,02/01/2020,10/24/2020,IA,Johnson County,19103,Small metro,98,1402
10/28/2020,02/01/2020,10/24/2020,IA,Linn County,19113,Medium metro,142,1583
10/28/2020,02/01/2020,10/24/2020,IA,Mahaska County,19123,Micropolitan,20,182
10/28/2020,02/01/2020,10/24/2020,IA,Marshall County,19127,Micropolitan,25,332
10/28/2020,02/01/2020,10/24/2020,IA,Muscatine County,19139,Micropolitan,44,264
10/28/2020,02/01/2020,10/24/2020,IA,Plymouth County,19149,Small metro,15,153
10/28/2020,02/01/2020,10/24/2020,IA,Polk County,19153,Medium metro,375,3917
10/28/2020,02/01/2020,10/24/2020,IA,Pottawattamie County,19155,Medium metro,40,737
10/28/2020,02/01/2020,10/24/2020,IA,Poweshiek County,19157,Noncore,11,153
10/28/2020,02/01/2020,10/24/2020,IA,Scott County,19163,Medium metro,39,1390
10/28/2020,02/01/2020,10/24/2020,IA,Sioux County,19167,Noncore,11,158
10/28/2020,02/01/2020,10/24/2020,IA,Story County,19169,Small metro,30,478
10/28/2020,02/01/2020,10/24/2020,IA,Tama County,19171,Noncore,28,120
10/28/2020,02/01/2020,10/24/2020,IA,Wapello County,19179,Micropolitan,42,309
10/28/2020,02/01/2020,10/24/2020,IA,Washington County,19183,Small metro,11,171
10/28/2020,02/01/2020,10/24/2020,IA,Webster County,19187,Micropolitan,28,389
10/28/2020,02/01/2020,10/24/2020,IA,Winnebago County,19189,Noncore,13,78
10/28/2020,02/01/2020,10/24/2020,IA,Woodbury County,19193,Small metro,147,1007
10/28/2020,02/01/2020,10/24/2020,ID,Ada County,16001,Medium metro,229,3050
10/28/2020,02/01/2020,10/24/2020,ID,Bannock County,16005,Small metro,19,619
10/28/2020,02/01/2020,10/24/2020,ID,Bonneville County,16019,Small metro,37,904
10/28/2020,02/01/2020,10/24/2020,ID,Canyon County,16027,Medium metro,82,1164
